epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2096,1.23021,3.16568,1.13737,0.00364,0.9697,0.05368,0.03899,0.58798,3.20268,0.83385,0.00043342,0.00043342,0.00043342
2,26.0009,1.19211,1.75275,1.05432,0.00268,0.37879,0.31198,0.22049,0.84481,2.69796,0.90768,0.000874763,0.000874763,0.000874763
3,38.6144,1.20633,1.6971,1.0571,0.67457,0.18182,0.13338,0.08678,0.97354,2.02683,1.01101,0.00130719,0.00130719,0.00130719
4,51.2367,1.17281,1.48772,1.07012,0.5002,0.90909,0.50489,0.30291,1.04413,15.034,1.04417,0.00161749,0.00161749,0.00161749
5,63.7093,1.1619,1.35607,1.06861,0.55749,0.90909,0.60524,0.33986,0.81534,2.04864,1.03324,0.00160099,0.00160099,0.00160099
6,76.2182,1.15503,1.28874,1.06241,0.71716,0.80303,0.8254,0.51352,0.96519,1.24695,0.96314,0.00158448,0.00158448,0.00158448
7,88.8508,1.10896,1.15632,1.06157,0.96843,0.92424,0.97579,0.63396,0.95484,0.78739,0.98971,0.00156798,0.00156798,0.00156798
8,101.501,1.09291,1.16162,1.04467,0.7681,0.87949,0.96707,0.66739,0.64962,0.6716,0.89418,0.00155148,0.00155148,0.00155148
9,114.3,1.09468,1.04573,1.04744,0.94727,0.89375,0.99456,0.76733,0.80862,0.76919,0.90919,0.00153497,0.00153497,0.00153497
10,127.094,1.10959,1.00544,1.05771,0.93966,0.97038,0.99187,0.67395,0.85661,0.57404,0.9145,0.00151847,0.00151847,0.00151847
11,139.972,1.0814,0.91755,1.05337,0.96814,0.92297,0.96881,0.68918,0.95882,0.71036,0.93615,0.00150197,0.00150197,0.00150197
12,152.688,1.06508,0.87139,1.05572,0.94914,0.94528,0.99161,0.6777,0.78498,0.57166,0.90972,0.00148546,0.00148546,0.00148546
13,165.191,1.0465,0.82524,1.02115,0.95881,0.98485,0.99375,0.6541,0.78423,0.6659,0.90561,0.00146896,0.00146896,0.00146896
14,177.589,1.06457,0.84471,1.04407,0.9478,0.92084,0.97972,0.67797,0.8276,0.55247,0.93038,0.00145246,0.00145246,0.00145246
15,190.023,0.99021,0.80224,1.01481,0.97918,0.96532,0.9925,0.65969,1.07495,0.53621,0.99163,0.00143595,0.00143595,0.00143595
16,202.4,1.00127,0.76318,1.02334,0.94633,0.87271,0.975,0.64761,0.78922,0.52718,0.92727,0.00141945,0.00141945,0.00141945
17,214.91,0.99713,0.74556,1.03106,0.9636,0.97938,0.99414,0.73631,0.73225,0.50336,0.9144,0.00140295,0.00140295,0.00140295
18,227.365,1.00143,0.73389,1.01946,0.97013,0.98485,0.99456,0.75574,0.69064,0.4885,0.88196,0.00138644,0.00138644,0.00138644
19,239.806,1.0127,0.74448,1.01643,0.87653,0.95444,0.99148,0.6505,0.9255,0.57117,0.93915,0.00136994,0.00136994,0.00136994
20,252.251,0.97818,0.71409,1.00412,0.95432,0.86479,0.99369,0.62567,0.93514,0.53348,0.94314,0.00135344,0.00135344,0.00135344
21,264.732,0.95273,0.65473,0.99568,0.91045,0.98321,0.995,0.72828,0.89315,0.44878,0.90464,0.00133693,0.00133693,0.00133693
22,277.171,0.93699,0.63982,0.97905,0.97799,0.9874,0.995,0.70781,0.95926,0.46711,0.9153,0.00132043,0.00132043,0.00132043
23,289.709,0.94972,0.64466,0.9831,0.9476,0.9937,0.995,0.73154,0.89668,0.45202,0.90287,0.00130393,0.00130393,0.00130393
24,302.3,0.91418,0.64205,0.99014,0.89572,0.96547,0.99414,0.73313,0.80616,0.48931,0.94144,0.00128742,0.00128742,0.00128742
25,314.717,0.9171,0.63018,0.97614,0.89743,0.96108,0.99456,0.72087,0.90092,0.52245,0.91545,0.00127092,0.00127092,0.00127092
26,327.159,0.93461,0.62404,0.95974,0.92694,0.95902,0.995,0.77712,0.8612,0.42106,0.90142,0.00125442,0.00125442,0.00125442
27,339.624,0.94163,0.62065,0.99354,0.91027,0.95574,0.995,0.7296,0.70976,0.40699,0.89741,0.00123791,0.00123791,0.00123791
28,352.091,0.87253,0.59714,0.96484,0.95713,0.94185,0.99323,0.68191,0.8388,0.42299,0.8999,0.00122141,0.00122141,0.00122141
29,364.539,0.92173,0.62675,0.97778,0.89025,0.92993,0.99324,0.72584,0.91404,0.51333,0.926,0.00120491,0.00120491,0.00120491
30,377.019,0.87268,0.56979,0.95798,0.82033,0.96963,0.99414,0.69312,0.79872,0.48347,0.89638,0.0011884,0.0011884,0.0011884
31,389.468,0.89001,0.58776,0.97767,0.89603,0.97,0.99201,0.72822,0.76926,0.42983,0.89925,0.0011719,0.0011719,0.0011719
32,402.42,0.86234,0.56718,0.95155,0.95606,0.98078,0.99278,0.7471,0.83577,0.46674,0.90954,0.0011554,0.0011554,0.0011554
33,416.133,0.86729,0.56491,0.95801,0.95186,1,0.995,0.77275,0.78682,0.43672,0.91477,0.00113889,0.00113889,0.00113889
34,429.895,0.86019,0.56848,0.9615,0.9799,0.9697,0.99109,0.73635,0.93178,0.46224,0.93206,0.00112239,0.00112239,0.00112239
35,443.738,0.86347,0.58228,0.95668,0.96809,0.95753,0.99031,0.73391,1.09007,0.47982,0.94972,0.00110589,0.00110589,0.00110589
36,457.459,0.83964,0.54072,0.94249,0.96488,0.97193,0.99456,0.72352,0.99624,0.42006,0.93046,0.00108938,0.00108938,0.00108938
37,471.257,0.85941,0.546,0.97037,0.97455,0.99307,0.995,0.68295,0.79585,0.41019,0.90444,0.00107288,0.00107288,0.00107288
38,485.028,0.86636,0.54246,0.9639,0.93925,0.98485,0.99323,0.65604,0.96767,0.44786,0.95394,0.00105638,0.00105638,0.00105638
39,498.76,0.82321,0.50866,0.93714,0.9765,1,0.995,0.72362,0.75464,0.34206,0.91095,0.00103987,0.00103987,0.00103987
40,512.497,0.82694,0.53421,0.93476,0.95393,0.98078,0.99368,0.68079,0.76826,0.37878,0.8926,0.00102337,0.00102337,0.00102337
41,526.116,0.81521,0.52419,0.9349,0.95042,0.98485,0.98884,0.73595,0.80006,0.43922,0.90677,0.00100687,0.00100687,0.00100687
42,539.988,0.81734,0.51842,0.94614,0.94442,1,0.995,0.68789,0.88187,0.41014,0.90242,0.000990365,0.000990365,0.000990365
43,553.808,0.81023,0.494,0.93833,0.96724,0.98485,0.99456,0.69971,0.81518,0.35163,0.88937,0.000973861,0.000973861,0.000973861
44,567.6,0.79682,0.50334,0.92008,0.92945,0.98621,0.99147,0.68726,0.9482,0.39781,0.92529,0.000957358,0.000957358,0.000957358
45,581.214,0.76544,0.49126,0.92262,0.95496,0.95511,0.99368,0.72531,0.75324,0.35662,0.87789,0.000940855,0.000940855,0.000940855
46,595.001,0.81035,0.50363,0.93552,0.97261,0.96453,0.99456,0.72156,0.89308,0.39999,0.92962,0.000924352,0.000924352,0.000924352
47,608.76,0.80247,0.4954,0.93386,0.97332,0.98485,0.99375,0.72446,0.9021,0.41495,0.93023,0.000907848,0.000907848,0.000907848
48,622.43,0.77182,0.4756,0.92731,0.95628,0.98529,0.995,0.70725,0.88364,0.35256,0.93507,0.000891345,0.000891345,0.000891345
49,636.195,0.77543,0.47147,0.92243,0.94874,0.98952,0.995,0.79215,0.79983,0.36554,0.89429,0.000874842,0.000874842,0.000874842
50,650.033,0.74412,0.45395,0.9189,0.96582,0.99522,0.995,0.69822,0.88756,0.38641,0.91529,0.000858338,0.000858338,0.000858338
51,663.861,0.7673,0.4652,0.9117,0.97061,0.99361,0.995,0.7271,0.87414,0.38577,0.90903,0.000841835,0.000841835,0.000841835
52,677.655,0.75779,0.46354,0.90821,0.97117,0.99233,0.995,0.77333,0.76289,0.37663,0.87701,0.000825332,0.000825332,0.000825332
53,691.362,0.72746,0.45316,0.9136,0.97767,0.98917,0.995,0.71656,0.85791,0.36324,0.8983,0.000808828,0.000808828,0.000808828
54,705.219,0.72185,0.4444,0.908,0.96516,0.98485,0.99375,0.72157,0.85547,0.3779,0.89808,0.000792325,0.000792325,0.000792325
55,719.015,0.72618,0.44473,0.90641,0.97815,0.98585,0.995,0.75283,0.75192,0.39088,0.88889,0.000775822,0.000775822,0.000775822
56,732.828,0.72066,0.45297,0.91229,0.98149,0.98485,0.99456,0.71243,0.89309,0.37834,0.92406,0.000759318,0.000759318,0.000759318
57,746.578,0.69972,0.44611,0.90336,0.96867,0.98485,0.99456,0.69144,0.85642,0.38549,0.91592,0.000742815,0.000742815,0.000742815
58,760.287,0.71064,0.44134,0.91887,0.98124,0.98485,0.99456,0.72481,0.73449,0.32038,0.88007,0.000726312,0.000726312,0.000726312
59,774.21,0.72346,0.44105,0.89182,0.98037,0.98686,0.995,0.74462,0.70534,0.35547,0.87531,0.000709809,0.000709809,0.000709809
60,787.997,0.68712,0.44215,0.90112,0.98112,0.98804,0.995,0.70061,0.72297,0.33306,0.87171,0.000693305,0.000693305,0.000693305
61,801.718,0.69326,0.4333,0.89324,0.97704,1,0.995,0.76333,0.73282,0.33333,0.86833,0.000676802,0.000676802,0.000676802
62,815.485,0.67784,0.41834,0.89386,0.97164,0.99901,0.995,0.72983,0.71313,0.32565,0.87527,0.000660299,0.000660299,0.000660299
63,829.323,0.66765,0.41963,0.8892,0.9879,0.99725,0.995,0.76299,0.78993,0.35859,0.86872,0.000643795,0.000643795,0.000643795
64,843.152,0.64752,0.41279,0.88762,0.98332,1,0.995,0.74628,0.863,0.33855,0.88097,0.000627292,0.000627292,0.000627292
65,856.844,0.65282,0.41458,0.89368,0.9855,1,0.995,0.75119,0.87861,0.37136,0.9049,0.000610789,0.000610789,0.000610789
66,870.702,0.67896,0.41747,0.89505,0.98243,0.99347,0.995,0.71639,0.82845,0.35785,0.88804,0.000594286,0.000594286,0.000594286
67,884.525,0.66071,0.41107,0.89218,0.98265,1,0.995,0.70985,0.81906,0.33048,0.89326,0.000577782,0.000577782,0.000577782
68,898.274,0.66121,0.40896,0.87746,0.97826,1,0.995,0.72832,0.74612,0.33693,0.86668,0.000561279,0.000561279,0.000561279
69,912.029,0.66258,0.41281,0.89945,0.96147,1,0.995,0.74565,0.78599,0.32474,0.88476,0.000544776,0.000544776,0.000544776
70,925.779,0.63731,0.39467,0.8832,0.97561,1,0.995,0.70075,0.76826,0.32805,0.87433,0.000528272,0.000528272,0.000528272
71,939.455,0.64171,0.38928,0.88121,0.97635,1,0.995,0.70886,0.85488,0.3248,0.89221,0.000511769,0.000511769,0.000511769
72,953.252,0.62049,0.38478,0.87566,0.96602,1,0.99456,0.70813,0.73482,0.32237,0.86984,0.000495266,0.000495266,0.000495266
73,967.004,0.61576,0.38905,0.87878,0.96762,1,0.98706,0.70008,0.78577,0.32505,0.86872,0.000478762,0.000478762,0.000478762
74,980.723,0.61363,0.37865,0.87731,0.98077,1,0.995,0.74318,0.79509,0.32846,0.8742,0.000462259,0.000462259,0.000462259
75,994.533,0.60117,0.38168,0.87343,0.97538,1,0.995,0.7065,0.77191,0.3322,0.8821,0.000445756,0.000445756,0.000445756
76,1008.28,0.61889,0.39172,0.87983,0.9874,1,0.995,0.69815,0.81288,0.33437,0.87933,0.000429253,0.000429253,0.000429253
